x,qx,px,lx,dx
0,0.00266,0.99734,100000,266
1,0.00041,0.99959,99734,40.89094
2,0.00031,0.99969,99693.10906,30.90486381
3,0.00024,0.99976,99662.2042,23.91892901
4,0.00021,0.99979,99638.28527,20.92403991
5,0.0002,0.9998,99617.36123,19.92347225
6,0.00022,0.99978,99597.43776,21.91143631
7,0.00023,0.99977,99575.52632,22.90237105
8,0.00022,0.99978,99552.62395,21.90157727
9,0.00021,0.99979,99530.72237,20.9014517
10,0.00019,0.99981,99509.82092,18.90686597
11,0.00018,0.99982,99490.91405,17.90836453
12,0.0002,0.9998,99473.00569,19.89460114
13,0.00022,0.99978,99453.11109,21.87968444
14,0.00023,0.99977,99431.2314,22.86918322
15,0.00023,0.99977,99408.36222,22.86392331
16,0.00024,0.99976,99385.4983,23.85251959
17,0.00024,0.99976,99361.64578,23.84679499
18,0.00025,0.99975,99337.79898,24.83444975
19,0.00026,0.99974,99312.96453,25.82137078
20,0.00027,0.99973,99287.14316,26.80752865
21,0.00028,0.99972,99260.33563,27.79289398
22,0.0003,0.9997,99232.54274,29.76976282
23,0.00032,0.99968,99202.77298,31.74488735
24,0.00034,0.99966,99171.02809,33.71814955
25,0.00038,0.99962,99137.30994,37.67217778
26,0.00042,0.99958,99099.63776,41.62184786
27,0.00046,0.99954,99058.01591,45.56668732
28,0.00049,0.99951,99012.44923,48.51610012
29,0.00052,0.99948,98963.93313,51.46124523
30,0.00056,0.99944,98912.47188,55.39098425
31,0.0006,0.9994,98857.0809,59.31424854
32,0.00064,0.99936,98797.76665,63.23057065
33,0.00069,0.99931,98734.53608,68.12682989
34,0.00074,0.99926,98666.40925,73.01314284
35,0.0008,0.9992,98593.3961,78.87471688
36,0.00086,0.99914,98514.52139,84.72248839
37,0.00093,0.99907,98429.7989,91.53971298
38,0.001,0.999,98338.25919,98.33825919
39,0.00108,0.99892,98239.92093,106.0991146
40,0.00118,0.99882,98133.82181,115.7979097
41,0.00128,0.99872,98018.0239,125.4630706
42,0.00141,0.99859,97892.56083,138.0285108
43,0.00154,0.99846,97754.53232,150.5419798
44,0.00169,0.99831,97603.99034,164.9507437
45,0.00187,0.99813,97439.0396,182.211004
46,0.00209,0.99791,97256.82859,203.2667718
47,0.0023,0.9977,97053.56182,223.2231922
48,0.00253,0.99747,96830.33863,244.9807567
49,0.00277,0.99723,96585.35787,267.5414413
50,0.00305,0.99695,96317.81643,293.7693401
51,0.00335,0.99665,96024.04709,321.6805578
52,0.00368,0.99632,95702.36653,352.1847088
53,0.00403,0.99597,95350.18182,384.2612328
54,0.00442,0.99558,94965.92059,419.749369
55,0.00483,0.99517,94546.17122,456.658007
56,0.00524,0.99476,94089.51322,493.0290493
57,0.00563,0.99437,93596.48417,526.9482059
58,0.00601,0.99399,93069.53596,559.3479111
59,0.00636,0.99364,92510.18805,588.364796
60,0.00671,0.99329,91921.82325,616.795434
61,0.00707,0.99293,91305.02782,645.5265467
62,0.00746,0.99254,90659.50127,676.3198795
63,0.00788,0.99212,89983.18139,709.0674694
64,0.00833,0.99167,89274.11392,743.653369
65,0.00833,0.99167,88530.46056,737.4587364
66,0.0094,0.9906,87793.00182,825.2542171
67,0.01005,0.98995,86967.7476,874.0258634
68,0.01076,0.98924,86093.72174,926.3684459
69,0.115,0.885,85167.35329,9794.245629
70,0.01229,0.98771,75373.10766,926.3354932
71,0.01314,0.98686,74446.77217,978.2305863
72,0.01406,0.98594,73468.54158,1032.967695
73,0.01508,0.98492,72435.57389,1092.328454
74,0.0162,0.9838,71343.24544,1155.760576
75,0.01743,0.98257,70187.48486,1223.367861
76,0.01879,0.98121,68964.117,1295.835758
77,0.0203,0.9797,67668.28124,1373.666109
78,0.02326,0.97674,66294.61513,1542.012748
79,0.0288,0.9712,64752.60238,1864.874949
80,0.03569,0.96431,62887.72743,2244.462992
81,0.04208,0.95792,60643.26444,2551.868568
82,0.04907,0.95093,58091.39587,2850.544796
83,0.0552,0.9448,55240.85108,3049.29498
84,0.06086,0.93914,52191.5561,3176.378104
85,0.06715,0.93285,49015.17799,3291.369202
86,0.07318,0.92682,45723.80879,3346.068327
87,0.08155,0.91845,42377.74047,3455.904735
88,0.09405,0.90595,38921.83573,3660.59865
89,0.10001,0.89999,35261.23708,3526.47632
90,0.10913,0.89087,31734.76076,3463.214442
91,0.11521,0.88479,28271.54632,3257.164851
92,0.12499,0.87501,25014.38147,3126.547539
93,0.13826,0.86174,21887.83393,3026.211919
94,0.15451,0.84549,18861.62201,2914.309216
95,0.17429,0.82571,15947.31279,2779.457146
96,0.19155,0.80845,13167.85565,2522.302749
97,0.20596,0.79404,10645.5529,2192.558075
98,0.22227,0.77773,8452.994822,1878.847159
99,0.23736,0.76264,6574.147663,1560.439689
100,0.2581,0.7419,5013.707974,1294.038028
101,0.28068,0.71932,3719.669946,1044.03696
102,0.30562,0.69438,2675.632985,817.726953
103,0.33315,0.66685,1857.906032,618.9613947
104,0.36369,0.63631,1238.944638,450.5917753
105,0.39318,0.60682,788.3528624,309.9645784
106,0.42883,0.57117,478.3882839,205.1472478
107,0.46604,0.53396,273.2410361,127.3412525
108,0.50427,0.49573,145.8997837,73.57288391
109,0.54477,0.45523,72.32689975,39.40152518
110,0.58702,0.41298,32.92537457,19.32785338
111,1,0,13.59752119,13.59752119
