x,qx,px,lx,dx
0,0.00524,0.99476,100000,524
1,0.00053,0.99947,99476,52.72228
2,0.00042,0.99958,99423.27772,41.75777664
3,0.00034,0.99966,99381.51994,33.78971678
4,0.00029,0.99971,99347.73023,28.81084177
5,0.00026,0.99974,99318.91938,25.82291904
6,0.00023,0.99977,99293.09647,22.83741219
7,0.00021,0.99979,99270.25905,20.8467544
8,0.0002,0.9998,99249.4123,19.84988246
9,0.0002,0.9998,99229.56242,19.84591248
10,0.00019,0.99981,99209.7165,18.84984614
11,0.00019,0.99981,99190.86666,18.84626467
12,0.00019,0.99981,99172.02039,18.84268387
13,0.0002,0.9998,99153.17771,19.83063554
14,0.00023,0.99977,99133.34707,22.80066983
15,0.00027,0.99973,99110.5464,26.75984753
16,0.00031,0.99969,99083.78656,30.71597383
17,0.00037,0.99963,99053.07058,36.64963612
18,0.00043,0.99957,99016.42095,42.57706101
19,0.00047,0.99953,98973.84389,46.51770663
20,0.00049,0.99951,98927.32618,48.47438983
21,0.00049,0.99951,98878.85179,48.45063738
22,0.00049,0.99951,98830.40115,48.42689656
23,0.00049,0.99951,98781.97426,48.40316739
24,0.0005,0.9995,98733.57109,49.36678554
25,0.00052,0.99948,98684.2043,51.31578624
26,0.00055,0.99945,98632.88852,54.24808868
27,0.0006,0.9994,98578.64043,59.14718426
28,0.00065,0.99935,98519.49324,64.03767061
29,0.0007,0.9993,98455.45557,68.9188189
30,0.00075,0.99925,98386.53675,73.78990257
31,0.00081,0.99919,98312.74685,79.63332495
32,0.00087,0.99913,98233.11353,85.46280877
33,0.00093,0.99907,98147.65072,91.27731517
34,0.00099,0.99901,98056.3734,97.07580967
35,0.00107,0.99893,97959.29759,104.8164484
36,0.00116,0.99884,97854.48114,113.5111981
37,0.00127,0.99873,97740.96995,124.1310318
38,0.00139,0.99861,97616.83891,135.6874061
39,0.00155,0.99845,97481.15151,151.0957848
40,0.00173,0.99827,97330.05572,168.3809964
41,0.00193,0.99807,97161.67473,187.5220322
42,0.00216,0.99784,96974.15269,209.4641698
43,0.00241,0.99759,96764.68852,233.2028993
44,0.0027,0.9973,96531.48563,260.6350112
45,0.00302,0.99698,96270.85061,290.7379689
46,0.00338,0.99662,95980.11265,324.4127807
47,0.00377,0.99623,95655.69986,360.6219885
48,0.00418,0.99582,95295.07788,398.3334255
49,0.00461,0.99539,94896.74445,437.4739919
50,0.00508,0.99492,94459.27046,479.8530939
51,0.00556,0.99444,93979.41736,522.5255605
52,0.00609,0.99391,93456.8918,569.1524711
53,0.00667,0.99333,92887.73933,619.5612214
54,0.00727,0.99273,92268.17811,670.7896549
55,0.00789,0.99211,91597.38846,722.7033949
56,0.00847,0.99153,90874.68506,769.7085825
57,0.00898,0.99102,90104.97648,809.1426888
58,0.00939,0.99061,89295.83379,838.4878793
59,0.00971,0.99029,88457.34591,858.9208288
60,0.00999,0.99001,87598.42508,875.1082666
61,0.01024,0.98976,86723.31682,888.0467642
62,0.01046,0.98954,85835.27005,897.8369247
63,0.01071,0.98929,84937.43313,909.6799088
64,0.01104,0.98896,84027.75322,927.6663955
65,0.01146,0.98854,83100.08682,952.326995
66,0.01199,0.98801,82147.75983,984.9516403
67,0.0126,0.9874,81162.80819,1022.651383
68,0.01329,0.98671,80140.1568,1065.062684
69,0.01405,0.98595,79075.09412,1111.005072
70,0.01485,0.98515,77964.08905,1157.766722
71,0.01574,0.98426,76806.32233,1208.931513
72,0.0167,0.9833,75597.39081,1262.476427
73,0.01777,0.98223,74334.91439,1320.931429
74,0.01895,0.98105,73013.98296,1383.614977
75,0.02026,0.97974,71630.36798,1451.231255
76,0.02369,0.97631,70179.13672,1662.543749
77,0.02738,0.97262,68516.59298,1875.984316
78,0.0313,0.9687,66640.60866,2085.851051
79,0.03693,0.96307,64554.75761,2384.007199
80,0.04518,0.95482,62170.75041,2808.874504
81,0.05527,0.94473,59361.87591,3280.930881
82,0.06732,0.93268,56080.94503,3775.369219
83,0.08228,0.91772,52305.57581,4303.702777
84,0.09478,0.90522,48001.87303,4549.617526
85,0.10465,0.89535,43452.2555,4547.278538
86,0.11533,0.88467,38904.97696,4486.910993
87,0.12698,0.87302,34418.06597,4370.406017
88,0.13947,0.86053,30047.65995,4190.747134
89,0.15271,0.84729,25856.91282,3948.609157
90,0.16659,0.83341,21908.30366,3649.704307
91,0.17991,0.82009,18258.59936,3284.90461
92,0.1939,0.8061,14973.69475,2903.399411
93,0.20874,0.79126,12070.29533,2519.553448
94,0.22451,0.77549,9550.741887,2144.237061
95,0.24126,0.75874,7406.504826,1786.893354
96,0.25715,0.74285,5619.611471,1445.08309
97,0.27419,0.72581,4174.528382,1144.613937
98,0.29249,0.70751,3029.914445,886.2196759
99,0.31215,0.68785,2143.694769,669.1543221
100,0.33331,0.66669,1474.540447,491.4790763
101,0.35163,0.64837,983.0613704,345.6738697
102,0.37132,0.62868,637.3875007,236.6747268
103,0.3925,0.6075,400.712774,157.2797638
104,0.41527,0.58473,243.4330102,101.0904261
105,0.43973,0.56027,142.342584,62.59230448
106,0.46602,0.53398,79.75027956,37.16522528
107,0.49429,0.50571,42.58505428,21.04936648
108,0.52467,0.47533,21.5356878,11.29912932
109,0.55733,0.44267,10.23655848,5.705141139
110,0.59244,0.40756,4.531417343,2.684592891
111,1,0,1.846824452,1.846824452
